Selecao;Orcado;Atualizado;Empenhado;Liquidado
Ano: 2011;35.622.810.875,00;35.938.773.492,88;29.693.288.881,05;26.216.542.900,39
*Orgao: Autarquia Hospitalar Municipal;773.520.634,00;811.157.134,00;758.267.085,67;655.907.479,16
**Unidade: Autarquia Hospitalar Municipal;773.520.634,00;811.157.134,00;758.267.085,67;655.907.479,16
***Funcao: Saude;773.520.634,00;811.157.134,00;758.267.085,67;655.907.479,16
****Sub-Funcao: Administracao Geral;485.859.215,00;476.825.315,09;449.033.065,94;381.479.781,56
*****Programa: Suporte administrativo;485.859.215,00;476.825.315,09;449.033.065,94;381.479.781,56
******Projeto/Atividade: Coordenacao e Administracao Geral;485.859.215,00;476.825.315,09;449.033.065,94;381.479.781,56
*******Elemento Economico: Auxilio-Alimentacao;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
********Categoria da Despesa: Despesas Correntes;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
*********Modalidade da Despesa: Aplicacoes Diretas;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
**********Fonte: Tesouro Municipal;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
*******Elemento Economico: Auxilio-Transporte;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
********Categoria da Despesa: Despesas Correntes;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
*********Modalidade da Despesa: Aplicacoes Diretas;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
**********Fonte: Tesouro Municipal;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
*******Elemento Economico: Diarias - Civil;52.000,00;252.000,00;112.508,22;112.508,22
********Categoria da Despesa: Despesas Correntes;52.000,00;252.000,00;112.508,22;112.508,22
*********Modalidade da Despesa: Aplicacoes Diretas;52.000,00;252.000,00;112.508,22;112.508,22
**********Fonte: Tesouro Municipal;52.000,00;252.000,00;112.508,22;112.508,22
*******Elemento Economico: Equipamentos e Material Permanente;556.438,00;556.438,00;267.976,40;89.576,40
********Categoria da Despesa: Despesas de Capital;556.438,00;556.438,00;267.976,40;89.576,40
*********Modalidade da Despesa: Aplicacoes Diretas;556.438,00;556.438,00;267.976,40;89.576,40
**********Fonte: Recursos Proprios da Administracao Indireta;436.438,00;436.438,00;185.978,00;7.578,00
**********Fonte: Tesouro Municipal;120.000,00;120.000,00;81.998,40;81.998,40
*******Elemento Economico: Indenizacoes Trabalhistas;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
********Categoria da Despesa: Despesas Correntes;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
*********Modalidade da Despesa: Aplicacoes Diretas;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
**********Fonte: Tesouro Municipal;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
*******Elemento Economico: Locacao de Mao-de-Obra;110.000,00;1.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;110.000,00;1.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;110.000,00;1.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;110.000,00;1.000,00;0,00;0,00
*******Elemento Economico: Material de Consumo;2.585.000,00;626.703,09;511.773,77;3.385,03
********Categoria da Despesa: Despesas Correntes;2.585.000,00;626.703,09;511.773,77;3.385,03
*********Modalidade da Despesa: Aplicacoes Diretas;2.585.000,00;626.703,09;511.773,77;3.385,03
**********Fonte: Tesouro Municipal;2.585.000,00;626.703,09;511.773,77;3.385,03
*******Elemento Economico: Obrigacoes Patronais;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
********Categoria da Despesa: Despesas Correntes;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
*********Modalidade da Despesa: Aplicacoes Diretas;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
**********Fonte: Tesouro Municipal;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
*******Elemento Economico: Obrigacoes Patronais - RPPS;8.000.000,00;8.000.000,00;7.450.000,00;6.113.565,63
********Categoria da Despesa: Despesas Correntes;8.000.000,00;8.000.000,00;7.450.000,00;6.113.565,63
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;8.000.000,00;8.000.000,00;7.450.000,00;6.113.565,63
**********Fonte: Tesouro Municipal;8.000.000,00;8.000.000,00;7.450.000,00;6.113.565,63
*******Elemento Economico: Obrigacoes Tributarias e Contributivas;100.000,00;160.000,00;110.425,18;99.468,70
********Categoria da Despesa: Despesas Correntes;100.000,00;160.000,00;110.425,18;99.468,70
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;160.000,00;110.425,18;99.468,70
**********Fonte: Tesouro Municipal;100.000,00;160.000,00;110.425,18;99.468,70
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;6.320.000,00;10.120.000,00;10.039.906,79;8.670.728,72
********Categoria da Despesa: Despesas Correntes;6.320.000,00;10.120.000,00;10.039.906,79;8.670.728,72
*********Modalidade da Despesa: Aplicacoes Diretas;6.320.000,00;10.120.000,00;10.039.906,79;8.670.728,72
**********Fonte: Tesouro Municipal;6.320.000,00;10.120.000,00;10.039.906,79;8.670.728,72
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;31.433.603,00;30.330.000,00;28.733.034,19;26.822.703,02
********Categoria da Despesa: Despesas Correntes;31.433.603,00;30.330.000,00;28.733.034,19;26.822.703,02
*********Modalidade da Despesa: Aplicacoes Diretas;31.433.603,00;30.330.000,00;28.733.034,19;26.822.703,02
**********Fonte: Recursos Proprios da Administracao Indireta;200.000,00;200.000,00;199.295,99;199.295,99
**********Fonte: Tesouro Municipal;30.130.000,00;30.130.000,00;28.533.738,20;26.623.407,03
**********Fonte: Transferencias Federais;1.103.603,00;0,00;0,00;0,00
*******Elemento Economico: Passagens e Despesas com Locomocao;63.000,00;140.000,00;23.913,37;23.913,37
********Categoria da Despesa: Despesas Correntes;63.000,00;140.000,00;23.913,37;23.913,37
*********Modalidade da Despesa: Aplicacoes Diretas;63.000,00;140.000,00;23.913,37;23.913,37
**********Fonte: Tesouro Municipal;63.000,00;140.000,00;23.913,37;23.913,37
*******Elemento Economico: Sentencas Judiciais;1.000.000,00;1.000.000,00;900.000,00;523.782,76
********Categoria da Despesa: Despesas Correntes;1.000.000,00;1.000.000,00;900.000,00;523.782,76
*********Modalidade da Despesa: Aplicacoes Diretas;1.000.000,00;1.000.000,00;900.000,00;523.782,76
**********Fonte: Tesouro Municipal;1.000.000,00;1.000.000,00;900.000,00;523.782,76
*******Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;301.767.025,00;291.767.025,00;272.766.632,00;229.584.330,16
********Categoria da Despesa: Despesas Correntes;301.767.025,00;291.767.025,00;272.766.632,00;229.584.330,16
*********Modalidade da Despesa: Aplicacoes Diretas;301.767.025,00;291.767.025,00;272.766.632,00;229.584.330,16
**********Fonte: Tesouro Municipal;301.767.025,00;291.767.025,00;272.766.632,00;229.584.330,16
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;270.308.419,00;317.478.818,91;292.564.091,44;259.501.031,46
*****Programa: Acesso a saude e qualidade no atendimento - Fortalecimento de assisten;1.150.000,00;1.150.000,00;939.639,00;0,00
******Projeto/Atividade: Ampliacao e Reforma de Equipamentos de Saude;1.000.000,00;1.000.000,00;939.639,00;0,00
*******Elemento Economico: Obras e Instalacoes;500.000,00;500.000,00;469.819,50;0,00
********Categoria da Despesa: Despesas de Capital;500.000,00;500.000,00;469.819,50;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;500.000,00;500.000,00;469.819,50;0,00
**********Fonte: Tesouro Municipal;500.000,00;500.000,00;469.819,50;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;500.000,00;500.000,00;469.819,50;0,00
********Categoria da Despesa: Despesas de Capital;500.000,00;500.000,00;469.819,50;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;500.000,00;500.000,00;469.819,50;0,00
**********Fonte: Tesouro Municipal;500.000,00;500.000,00;469.819,50;0,00
******Projeto/Atividade: E5288 - Reforma do Hospital do Tatuape;50.000,00;50.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
******Projeto/Atividade: E5289 - Reforma do Hospital Mandaqui;50.000,00;50.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
******Projeto/Atividade: E5290 - Reforma do Hospital Tide Setubal;50.000,00;50.000,00;0,00;0,00
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;50.000,00;50.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;50.000,00;50.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;50.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;50.000,00;50.000,00;0,00;0,00
