Selecao;Orcado;Atualizado;Empenhado;Liquidado
Ano: 2008;25.284.792.148,00;26.814.279.728,51;24.179.900.226,28;22.633.748.046,37
*Orgao: Autarquia Hospitalar Municipal;124.821.236,00;587.582.622,00;571.887.284,10;513.285.665,12
**Unidade: Autarquia Hospitalar Municipal;124.821.236,00;587.582.622,00;571.887.284,10;513.285.665,12
***Funcao: Saude;124.821.236,00;587.582.622,00;571.887.284,10;513.285.665,12
****Sub-Funcao: Administracao Geral;78.297.236,00;372.896.725,00;365.200.210,82;355.328.921,02
*****Programa: Suporte Administrativo;78.297.236,00;372.896.725,00;365.200.210,82;355.328.921,02
******Projeto/Atividade: Coordenacao e Administracao Geral;78.297.236,00;372.896.725,00;365.200.210,82;355.328.921,02
*******Categoria da Despesa: Despesas Correntes;78.096.236,00;372.730.725,00;365.034.410,54;355.224.635,02
********Elemento Economico: Auxilio-Alimentacao;4.400.000,00;39.930.226,00;39.848.418,22;39.294.971,46
*********Modalidade da Despesa: Aplicacoes Diretas;4.400.000,00;39.930.226,00;39.848.418,22;39.294.971,46
**********Fonte: Recursos Proprios;4.400.000,00;36.430.226,00;36.348.418,22;35.794.971,46
**********Fonte: Transferencias Federais;0,00;3.500.000,00;3.500.000,00;3.500.000,00
********Elemento Economico: Auxilio-Transporte;1.100.000,00;4.241.221,00;4.107.816,15;4.107.779,35
*********Modalidade da Despesa: Aplicacoes Diretas;1.100.000,00;4.241.221,00;4.107.816,15;4.107.779,35
**********Fonte: Recursos Proprios;1.100.000,00;4.241.221,00;4.107.816,15;4.107.779,35
********Elemento Economico: Contratacao por Tempo Determinado;0,00;14.313.332,00;14.016.518,63;14.016.518,63
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;14.313.332,00;14.016.518,63;14.016.518,63
**********Fonte: Recursos Proprios;0,00;14.313.332,00;14.016.518,63;14.016.518,63
********Elemento Economico: Despesas de Exercicios Anteriores;0,00;304.271,37;304.271,37;304.271,37
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;304.271,37;304.271,37;304.271,37
**********Fonte: Recursos Proprios;0,00;304.271,37;304.271,37;304.271,37
********Elemento Economico: Diarias - Civil;5.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;5.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;5.000,00;0,00;0,00;0,00
********Elemento Economico: Indenizacoes Trabalhistas;0,00;2.750.000,00;2.450.953,38;2.450.953,38
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;2.750.000,00;2.450.953,38;2.450.953,38
**********Fonte: Recursos Proprios;0,00;2.750.000,00;2.450.953,38;2.450.953,38
********Elemento Economico: Locacao de Mao-de-Obra;10.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;10.000,00;0,00;0,00;0,00
**********Fonte: Recursos Proprios;10.000,00;0,00;0,00;0,00
********Elemento Economico: Material de Consumo;550.000,00;259.000,00;152.294,04;131.738,42
*********Modalidade da Despesa: Aplicacoes Diretas;550.000,00;259.000,00;152.294,04;131.738,42
**********Fonte: Recursos Proprios;550.000,00;132.000,00;131.767,23;124.018,42
**********Fonte: Recursos Proprios da Adm. Indireta;0,00;127.000,00;20.526,81;7.720,00
********Elemento Economico: Obrigacoes Patronais;11.100.000,00;56.839.000,00;54.183.322,80;50.011.632,14
*********Modalidade da Despesa: Aplicacoes Diretas;11.100.000,00;56.839.000,00;54.183.322,80;50.011.632,14
**********Fonte: Recursos Proprios;11.100.000,00;56.839.000,00;54.183.322,80;50.011.632,14
********Elemento Economico: Obrigacoes Patronais - RPPS;1.886.236,00;6.870.384,00;6.119.683,52;6.119.683,52
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;1.886.236,00;6.870.384,00;6.119.683,52;6.119.683,52
**********Fonte: Recursos Proprios;1.886.236,00;6.870.384,00;6.119.683,52;6.119.683,52
********Elemento Economico: Obrigacoes Tributarias e Contributivas;1.470.000,00;49.928,63;31.509,84;28.027,03
*********Modalidade da Despesa: Aplicacoes Diretas;1.470.000,00;49.928,63;31.509,84;28.027,03
**********Fonte: Recursos Proprios;1.470.000,00;49.928,63;31.509,84;28.027,03
********Elemento Economico: Outros Auxilios Financeiros a Pessoas Fisicas;50.000,00;7.000,00;6.463,00;6.463,00
*********Modalidade da Despesa: Aplicacoes Diretas;50.000,00;7.000,00;6.463,00;6.463,00
**********Fonte: Recursos Proprios;50.000,00;7.000,00;6.463,00;6.463,00
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;2.720.000,00;5.499.418,00;5.437.336,19;5.360.869,95
*********Modalidade da Despesa: Aplicacoes Diretas;2.720.000,00;5.499.418,00;5.437.336,19;5.360.869,95
**********Fonte: Recursos Proprios;2.720.000,00;5.499.418,00;5.437.336,19;5.360.869,95
********Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;9.300.000,00;26.674.289,00;26.579.828,21;21.651.285,14
*********Modalidade da Despesa: Aplicacoes Diretas;9.300.000,00;26.674.289,00;26.579.828,21;21.651.285,14
**********Fonte: Recursos Proprios;9.200.000,00;26.569.289,00;26.475.272,34;21.575.033,27
**********Fonte: Recursos Proprios da Adm. Indireta;100.000,00;105.000,00;104.555,87;76.251,87
********Elemento Economico: Passagens e Despesas com Locomocao;5.000,00;800,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;5.000,00;800,00;0,00;0,00
**********Fonte: Recursos Proprios;5.000,00;800,00;0,00;0,00
