Selecao;Orcado;Atualizado;Empenhado;Liquidado
Ano: 2010;27.897.832.339,00;29.255.301.865,55;28.761.555.363,83;27.127.222.909,53
*Orgao: Autarquia Hospitalar Municipal;768.136.630,00;775.176.030,00;694.506.236,96;614.248.304,20
**Unidade: Autarquia Hospitalar Municipal;768.136.630,00;775.176.030,00;694.506.236,96;614.248.304,20
***Funcao: Saude;768.136.630,00;775.176.030,00;694.506.236,96;614.248.304,20
****Sub-Funcao: Administracao Geral;429.216.051,00;415.181.785,45;413.806.449,91;401.511.103,56
*****Programa: Suporte administrativo;429.216.051,00;415.181.785,45;413.806.449,91;401.511.103,56
******Projeto/Atividade: Coordenacao e Administracao Geral;429.216.051,00;415.181.785,45;413.806.449,91;401.511.103,56
*******Elemento Economico: Auxilio-Alimentacao;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
********Categoria da Despesa: Despesas Correntes;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
*********Modalidade da Despesa: Aplicacoes Diretas;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
**********Fonte: Recursos Proprios;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
*******Elemento Economico: Auxilio-Transporte;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
********Categoria da Despesa: Despesas Correntes;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
*********Modalidade da Despesa: Aplicacoes Diretas;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
**********Fonte: Recursos Proprios;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
*******Elemento Economico: Diarias - Civil;35.000,00;35.000,00;34.139,94;34.139,94
********Categoria da Despesa: Despesas Correntes;35.000,00;35.000,00;34.139,94;34.139,94
*********Modalidade da Despesa: Aplicacoes Diretas;35.000,00;35.000,00;34.139,94;34.139,94
**********Fonte: Recursos Proprios;35.000,00;35.000,00;34.139,94;34.139,94
*******Elemento Economico: Equipamentos e Material Permanente;260.000,00;861.151,49;795.039,96;110.000,00
********Categoria da Despesa: Despesas de Capital;260.000,00;861.151,49;795.039,96;110.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;260.000,00;861.151,49;795.039,96;110.000,00
**********Fonte: Recursos Proprios;110.000,00;711.151,49;711.151,39;110.000,00
**********Fonte: Recursos Proprios da Adm. Indireta;150.000,00;150.000,00;83.888,57;0,00
*******Elemento Economico: Indenizacoes Trabalhistas;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
********Categoria da Despesa: Despesas Correntes;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
*********Modalidade da Despesa: Aplicacoes Diretas;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
**********Fonte: Recursos Proprios;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
*******Elemento Economico: Locacao de Mao-de-Obra;100.000,00;100.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;100.000,00;0,00;0,00
**********Fonte: Recursos Proprios;100.000,00;100.000,00;0,00;0,00
*******Elemento Economico: Material de Consumo;1.230.000,00;11.412,71;11.412,71;11.412,71
********Categoria da Despesa: Despesas Correntes;1.230.000,00;11.412,71;11.412,71;11.412,71
*********Modalidade da Despesa: Aplicacoes Diretas;1.230.000,00;11.412,71;11.412,71;11.412,71
**********Fonte: Recursos Proprios;1.230.000,00;11.412,71;11.412,71;11.412,71
*******Elemento Economico: Obrigacoes Patronais;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
********Categoria da Despesa: Despesas Correntes;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
*********Modalidade da Despesa: Aplicacoes Diretas;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
**********Fonte: Recursos Proprios;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
*******Elemento Economico: Obrigacoes Patronais - RPPS;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
********Categoria da Despesa: Despesas Correntes;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
**********Fonte: Recursos Proprios;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
*******Elemento Economico: Obrigacoes Tributarias e Contributivas;100.000,00;51.976,56;45.000,00;38.688,99
********Categoria da Despesa: Despesas Correntes;100.000,00;51.976,56;45.000,00;38.688,99
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;51.976,56;45.000,00;38.688,99
**********Fonte: Recursos Proprios;100.000,00;51.976,56;45.000,00;38.688,99
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Fisica;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
********Categoria da Despesa: Despesas Correntes;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
*********Modalidade da Despesa: Aplicacoes Diretas;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
**********Fonte: Recursos Proprios;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
*******Elemento Economico: Outros Servicos de Terceiros - Pessoa Juridica;28.551.051,00;22.342.323,58;21.140.999,19;20.295.606,88
********Categoria da Despesa: Despesas Correntes;28.551.051,00;22.342.323,58;21.140.999,19;20.295.606,88
*********Modalidade da Despesa: Aplicacoes Diretas;28.551.051,00;22.342.323,58;21.140.999,19;20.295.606,88
**********Fonte: Recursos Proprios;27.350.000,00;21.141.272,58;21.138.999,19;20.295.479,19
**********Fonte: Recursos Proprios da Adm. Indireta;150.000,00;150.000,00;0,00;0,00
**********Fonte: Transferencias Federais;1.051.051,00;1.051.051,00;2.000,00;127,69
*******Elemento Economico: Passagens e Despesas com Locomocao;40.000,00;40.000,00;39.937,00;39.937,00
********Categoria da Despesa: Despesas Correntes;40.000,00;40.000,00;39.937,00;39.937,00
*********Modalidade da Despesa: Aplicacoes Diretas;40.000,00;40.000,00;39.937,00;39.937,00
**********Fonte: Recursos Proprios;40.000,00;40.000,00;39.937,00;39.937,00
*******Elemento Economico: Sentencas Judiciais;520.000,00;620.000,00;620.000,00;590.049,00
********Categoria da Despesa: Despesas Correntes;520.000,00;620.000,00;620.000,00;590.049,00
*********Modalidade da Despesa: Aplicacoes Diretas;520.000,00;620.000,00;620.000,00;590.049,00
**********Fonte: Recursos Proprios;520.000,00;620.000,00;620.000,00;590.049,00
*******Elemento Economico: Vencimentos e Vantagens Fixas - Pessoal Civil;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
********Categoria da Despesa: Despesas Correntes;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
*********Modalidade da Despesa: Aplicacoes Diretas;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
**********Fonte: Recursos Proprios;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
****Sub-Funcao: Assistencia Hospitalar e Ambulatorial;338.920.579,00;359.994.244,55;280.699.787,05;212.737.200,64
