Selecao;Orcado;Atualizado;Empenhado;Liquidado
Ano: 2012;38.734.598.114,00;39.638.669.342,72;23.638.715.476,25;19.422.815.100,98
*Orgao: Autarquia Hospitalar Municipal;916.122.758,00;897.978.973,96;595.594.962,90;500.450.357,90
**Unidade: Autarquia Hospitalar Municipal;916.122.758,00;897.978.973,96;595.594.962,90;500.450.357,90
***Funcao: Saude;916.122.758,00;897.978.973,96;595.594.962,90;500.450.357,90
****Sub-Funcao: Administracao Geral;490.197.142,00;503.547.142,00;307.720.181,67;267.104.349,34
*****Programa: Suporte administrativo;490.197.142,00;503.547.142,00;307.720.181,67;267.104.349,34
******Projeto/Atividade: Coordenacao e Administracao Geral;490.197.142,00;503.547.142,00;307.720.181,67;267.104.349,34
*******Elemento Economico: Auxilio-Alimentacao;33.367.378,00;33.367.378,00;30.642.361,08;26.572.362,88
********Categoria da Despesa: Despesas Correntes;33.367.378,00;33.367.378,00;30.642.361,08;26.572.362,88
*********Modalidade da Despesa: Aplicacoes Diretas;33.367.378,00;33.367.378,00;30.642.361,08;26.572.362,88
**********Fonte: Tesouro Municipal;33.367.378,00;33.367.378,00;30.642.361,08;26.572.362,88
*******Elemento Economico: Auxilio-Transporte;6.016.051,00;6.016.051,00;4.050.000,00;3.404.448,50
********Categoria da Despesa: Despesas Correntes;6.016.051,00;6.016.051,00;4.050.000,00;3.404.448,50
*********Modalidade da Despesa: Aplicacoes Diretas;6.016.051,00;6.016.051,00;4.050.000,00;3.404.448,50
**********Fonte: Tesouro Municipal;6.016.051,00;6.016.051,00;4.050.000,00;3.404.448,50
*******Elemento Economico: Diarias - Civil;173.659,00;173.659,00;55.064,09;55.064,09
********Categoria da Despesa: Despesas Correntes;173.659,00;173.659,00;55.064,09;55.064,09
*********Modalidade da Despesa: Aplicacoes Diretas;173.659,00;173.659,00;55.064,09;55.064,09
**********Fonte: Tesouro Municipal;173.659,00;173.659,00;55.064,09;55.064,09
*******Elemento Economico: Equipamentos e Material Permanente;193.032,00;193.032,00;73.656,00;2.706,00
********Categoria da Despesa: Despesas de Capital;193.032,00;193.032,00;73.656,00;2.706,00
*********Modalidade da Despesa: Aplicacoes Diretas;193.032,00;193.032,00;73.656,00;2.706,00
**********Fonte: Recursos Proprios da Administracao Indireta;100.000,00;100.000,00;1.050,00;0,00
**********Fonte: Tesouro Municipal;93.032,00;93.032,00;72.606,00;2.706,00
*******Elemento Economico: Indenizacoes Trabalhistas;3.960.978,00;3.960.978,00;3.000.000,00;1.377.441,67
