Seleção;Orçado;Atualizado;Empenhado;Liquidado
Ano: 2010;27.897.832.339,00;29.255.301.865,55;28.761.555.363,83;27.127.222.909,53
*Orgão: Autarquia Hospitalar Municipal;768.136.630,00;775.176.030,00;694.506.236,96;614.248.304,20
**Unidade: Autarquia Hospitalar Municipal;768.136.630,00;775.176.030,00;694.506.236,96;614.248.304,20
***Função: Saúde;768.136.630,00;775.176.030,00;694.506.236,96;614.248.304,20
****Sub-Função: Administração Geral;429.216.051,00;415.181.785,45;413.806.449,91;401.511.103,56
*****Programa: Suporte administrativo;429.216.051,00;415.181.785,45;413.806.449,91;401.511.103,56
******Projeto/Atividade: Coordenação e Administração Geral;429.216.051,00;415.181.785,45;413.806.449,91;401.511.103,56
*******Elemento Econômico: Auxílio-Alimentação;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
********Categoria da Despesa: Despesas Correntes;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
*********Modalidade da Despesa: Aplicações Diretas;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
**********Fonte: Recursos Próprios;55.000.000,00;43.850.000,00;43.850.000,00;42.841.973,49
*******Elemento Econômico: Auxílio-Transporte;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
********Categoria da Despesa: Despesas Correntes;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
*********Modalidade da Despesa: Aplicações Diretas;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
**********Fonte: Recursos Próprios;6.200.000,00;5.350.000,00;5.350.000,00;5.034.601,39
*******Elemento Econômico: Diárias - Civil;35.000,00;35.000,00;34.139,94;34.139,94
********Categoria da Despesa: Despesas Correntes;35.000,00;35.000,00;34.139,94;34.139,94
*********Modalidade da Despesa: Aplicações Diretas;35.000,00;35.000,00;34.139,94;34.139,94
**********Fonte: Recursos Próprios;35.000,00;35.000,00;34.139,94;34.139,94
*******Elemento Econômico: Equipamentos e Material Permanente;260.000,00;861.151,49;795.039,96;110.000,00
********Categoria da Despesa: Despesas de Capital;260.000,00;861.151,49;795.039,96;110.000,00
*********Modalidade da Despesa: Aplicações Diretas;260.000,00;861.151,49;795.039,96;110.000,00
**********Fonte: Recursos Próprios;110.000,00;711.151,49;711.151,39;110.000,00
**********Fonte: Recursos Próprios da Adm. Indireta;150.000,00;150.000,00;83.888,57;0,00
*******Elemento Econômico: Indenizações Trabalhistas;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
********Categoria da Despesa: Despesas Correntes;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
*********Modalidade da Despesa: Aplicações Diretas;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
**********Fonte: Recursos Próprios;3.675.000,00;3.675.000,00;3.675.000,00;3.124.274,17
*******Elemento Econômico: Locação de Mão-de-Obra;100.000,00;100.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;100.000,00;0,00;0,00
**********Fonte: Recursos Próprios;100.000,00;100.000,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;1.230.000,00;11.412,71;11.412,71;11.412,71
********Categoria da Despesa: Despesas Correntes;1.230.000,00;11.412,71;11.412,71;11.412,71
*********Modalidade da Despesa: Aplicações Diretas;1.230.000,00;11.412,71;11.412,71;11.412,71
**********Fonte: Recursos Próprios;1.230.000,00;11.412,71;11.412,71;11.412,71
*******Elemento Econômico: Obrigações Patronais;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
********Categoria da Despesa: Despesas Correntes;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
*********Modalidade da Despesa: Aplicações Diretas;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
**********Fonte: Recursos Próprios;67.100.000,00;66.600.000,00;66.600.000,00;62.833.055,22
*******Elemento Econômico: Obrigações Patronais - RPPS;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
********Categoria da Despesa: Despesas Correntes;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
**********Fonte: Recursos Próprios;8.020.000,00;7.020.000,00;7.020.000,00;6.577.168,05
*******Elemento Econômico: Obrigações Tributárias e Contributivas;100.000,00;51.976,56;45.000,00;38.688,99
********Categoria da Despesa: Despesas Correntes;100.000,00;51.976,56;45.000,00;38.688,99
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;51.976,56;45.000,00;38.688,99
**********Fonte: Recursos Próprios;100.000,00;51.976,56;45.000,00;38.688,99
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
********Categoria da Despesa: Despesas Correntes;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
*********Modalidade da Despesa: Aplicações Diretas;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
**********Fonte: Recursos Próprios;7.700.000,00;8.269.921,11;8.269.921,11;8.212.156,92
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;28.551.051,00;22.342.323,58;21.140.999,19;20.295.606,88
********Categoria da Despesa: Despesas Correntes;28.551.051,00;22.342.323,58;21.140.999,19;20.295.606,88
*********Modalidade da Despesa: Aplicações Diretas;28.551.051,00;22.342.323,58;21.140.999,19;20.295.606,88
**********Fonte: Recursos Próprios;27.350.000,00;21.141.272,58;21.138.999,19;20.295.479,19
**********Fonte: Recursos Próprios da Adm. Indireta;150.000,00;150.000,00;0,00;0,00
**********Fonte: Transferências Federais;1.051.051,00;1.051.051,00;2.000,00;127,69
*******Elemento Econômico: Passagens e Despesas com Locomoção;40.000,00;40.000,00;39.937,00;39.937,00
********Categoria da Despesa: Despesas Correntes;40.000,00;40.000,00;39.937,00;39.937,00
*********Modalidade da Despesa: Aplicações Diretas;40.000,00;40.000,00;39.937,00;39.937,00
**********Fonte: Recursos Próprios;40.000,00;40.000,00;39.937,00;39.937,00
*******Elemento Econômico: Sentenças Judiciais;520.000,00;620.000,00;620.000,00;590.049,00
********Categoria da Despesa: Despesas Correntes;520.000,00;620.000,00;620.000,00;590.049,00
*********Modalidade da Despesa: Aplicações Diretas;520.000,00;620.000,00;620.000,00;590.049,00
**********Fonte: Recursos Próprios;520.000,00;620.000,00;620.000,00;590.049,00
*******Elemento Econômico: Vencimentos e Vantagens Fixas - Pessoal Civil;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
********Categoria da Despesa: Despesas Correntes;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
*********Modalidade da Despesa: Aplicações Diretas;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
**********Fonte: Recursos Próprios;250.685.000,00;256.355.000,00;256.355.000,00;251.768.039,80
****Sub-Função: Assistência Hospitalar e Ambulatorial;338.920.579,00;359.994.244,55;280.699.787,05;212.737.200,64
*****Programa: Acesso à saúde e qualidade no atendimento - Fortalecimento de assistên;1.001.000,00;1.000,00;0,00;0,00
******Projeto/Atividade: Ampliação e Reforma de Equipamentos de Saúde;1.000.000,00;0,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;1.000.000,00;0,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;1.000.000,00;0,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;1.000.000,00;0,00;0,00;0,00
**********Fonte: Recursos Próprios;1.000.000,00;0,00;0,00;0,00
******Projeto/Atividade: E757 - Reforma E Ampliação Do Hospital Alexandre Zaio - Vila Nhocuné;1.000,00;1.000,00;0,00;0,00
*******Elemento Econômico: Obras e Instalações;1.000,00;1.000,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;1.000,00;1.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;1.000,00;1.000,00;0,00;0,00
**********Fonte: Recursos Próprios;1.000,00;1.000,00;0,00;0,00
*****Programa: Acesso à saúde e qualidade no atendimento - Integralidade da atenção;337.919.579,00;359.993.244,55;280.699.787,05;212.737.200,64
******Projeto/Atividade: Oper./Manut. Unidades Hospitalares, Pronto Socorros e  Pronto Atendimento;337.758.579,00;359.832.244,55;280.664.415,76;212.717.013,67
*******Elemento Econômico: Equipamentos e Material Permanente;3.388.763,00;3.758.163,00;3.697.865,32;2.756.230,04
********Categoria da Despesa: Despesas de Capital;3.388.763,00;3.758.163,00;3.697.865,32;2.756.230,04
*********Modalidade da Despesa: Aplicações Diretas;3.388.763,00;3.758.163,00;3.697.865,32;2.756.230,04
**********Fonte: Recursos Próprios;1.000.000,00;1.369.400,00;1.352.675,43;626.443,43
**********Fonte: Recursos Próprios da Adm. Indireta;400.000,00;400.000,00;376.998,10;253.874,00
**********Fonte: Transferências Federais;1.988.763,00;1.988.763,00;1.968.191,79;1.875.912,61
*******Elemento Econômico: Locação de Mão-de-Obra;17.080.000,00;6.603.245,68;6.603.245,68;6.074.886,60
********Categoria da Despesa: Despesas Correntes;17.080.000,00;6.603.245,68;6.603.245,68;6.074.886,60
*********Modalidade da Despesa: Aplicações Diretas;17.080.000,00;6.603.245,68;6.603.245,68;6.074.886,60
**********Fonte: Recursos Próprios;17.080.000,00;6.603.245,68;6.603.245,68;6.074.886,60
*******Elemento Econômico: Material de Consumo;86.921.835,00;82.087.945,41;80.906.332,71;44.105.798,47
********Categoria da Despesa: Despesas Correntes;86.921.835,00;82.087.945,41;80.906.332,71;44.105.798,47
*********Modalidade da Despesa: Aplicações Diretas;86.921.835,00;82.087.945,41;80.906.332,71;44.105.798,47
**********Fonte: Recursos Próprios;10.161.835,00;5.327.945,41;5.249.031,71;3.479.815,92
**********Fonte: Transferências Federais;76.760.000,00;76.760.000,00;75.657.301,00;40.625.982,55
*******Elemento Econômico: Outros Auxílios Financeiros a Pessoas Físicas;150.000,00;85.193,00;85.193,00;85.193,00
********Categoria da Despesa: Despesas Correntes;150.000,00;85.193,00;85.193,00;85.193,00
*********Modalidade da Despesa: Aplicações Diretas;150.000,00;85.193,00;85.193,00;85.193,00
**********Fonte: Recursos Próprios;150.000,00;85.193,00;85.193,00;85.193,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;990.000,00;941.987,49;810.408,40;810.408,38
********Categoria da Despesa: Despesas Correntes;990.000,00;941.987,49;810.408,40;810.408,38
*********Modalidade da Despesa: Aplicações Diretas;990.000,00;941.987,49;810.408,40;810.408,38
**********Fonte: Recursos Próprios;990.000,00;941.987,49;810.408,40;810.408,38
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;229.033.981,00;266.161.709,97;188.555.114,81;158.878.241,34
********Categoria da Despesa: Despesas Correntes;229.033.981,00;266.161.709,97;188.555.114,81;158.878.241,34
*********Modalidade da Despesa: Aplicações Diretas;229.033.981,00;266.161.709,97;188.555.114,81;158.878.241,34
**********Fonte: Recursos Próprios;109.300.000,00;146.427.728,97;146.426.372,17;121.997.298,63
**********Fonte: Recursos Próprios da Adm. Indireta;200.000,00;200.000,00;0,00;0,00
**********Fonte: Transferências Federais;119.533.981,00;119.533.981,00;42.128.742,64;36.880.942,71
*******Elemento Econômico: Passagens e Despesas com Locomoção;194.000,00;194.000,00;6.255,84;6.255,84
********Categoria da Despesa: Despesas Correntes;194.000,00;194.000,00;6.255,84;6.255,84
*********Modalidade da Despesa: Aplicações Diretas;194.000,00;194.000,00;6.255,84;6.255,84
**********Fonte: Recursos Próprios;5.000,00;5.000,00;3.883,44;3.883,44
**********Fonte: Transferências Federais;189.000,00;189.000,00;2.372,40;2.372,40
******Projeto/Atividade: Projeto Sentinela;161.000,00;161.000,00;35.371,29;20.186,97
*******Elemento Econômico: Diárias - Civil;8.000,00;8.000,00;905,94;905,94
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;905,94;905,94
*********Modalidade da Despesa: Aplicações Diretas;8.000,00;8.000,00;905,94;905,94
**********Fonte: Transferências Federais;8.000,00;8.000,00;905,94;905,94
*******Elemento Econômico: Equipamentos e Material Permanente;85.000,00;85.000,00;22.430,32;7.246,00
********Categoria da Despesa: Despesas de Capital;85.000,00;85.000,00;22.430,32;7.246,00
*********Modalidade da Despesa: Aplicações Diretas;85.000,00;85.000,00;22.430,32;7.246,00
**********Fonte: Transferências Federais;85.000,00;85.000,00;22.430,32;7.246,00
*******Elemento Econômico: Material de Consumo;20.000,00;20.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;20.000,00;20.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;20.000,00;20.000,00;0,00;0,00
**********Fonte: Transferências Federais;20.000,00;20.000,00;0,00;0,00
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;40.000,00;40.000,00;9.732,75;9.732,75
********Categoria da Despesa: Despesas Correntes;40.000,00;40.000,00;9.732,75;9.732,75
*********Modalidade da Despesa: Aplicações Diretas;40.000,00;40.000,00;9.732,75;9.732,75
**********Fonte: Transferências Federais;40.000,00;40.000,00;9.732,75;9.732,75
*******Elemento Econômico: Passagens e Despesas com Locomoção;8.000,00;8.000,00;2.302,28;2.302,28
********Categoria da Despesa: Despesas Correntes;8.000,00;8.000,00;2.302,28;2.302,28
*********Modalidade da Despesa: Aplicações Diretas;8.000,00;8.000,00;2.302,28;2.302,28
**********Fonte: Transferências Federais;8.000,00;8.000,00;2.302,28;2.302,28
