Seleção;Orçado;Atualizado;Empenhado;Liquidado
Ano: 2012;38.734.598.114,00;38.734.598.114,00;12.595.945.821,78;3.940.905.755,78
*Orgão: Autarquia Hospitalar Municipal;916.122.758,00;916.122.758,00;269.720.974,71;110.641.594,65
**Unidade: Autarquia Hospitalar Municipal;916.122.758,00;916.122.758,00;269.720.974,71;110.641.594,65
***Função: Saúde;916.122.758,00;916.122.758,00;269.720.974,71;110.641.594,65
****Sub-Função: Administração Geral;490.197.142,00;490.197.142,00;123.420.260,74;78.984.119,05
*****Programa: Suporte administrativo;490.197.142,00;490.197.142,00;123.420.260,74;78.984.119,05
******Projeto/Atividade: Coordenação e Administração Geral;490.197.142,00;490.197.142,00;123.420.260,74;78.984.119,05
*******Elemento Econômico: Auxílio-Alimentação;33.367.378,00;33.367.378,00;16.000.000,00;7.567.796,57
********Categoria da Despesa: Despesas Correntes;33.367.378,00;33.367.378,00;16.000.000,00;7.567.796,57
*********Modalidade da Despesa: Aplicações Diretas;33.367.378,00;33.367.378,00;16.000.000,00;7.567.796,57
**********Fonte: Tesouro Municipal;33.367.378,00;33.367.378,00;16.000.000,00;7.567.796,57
*******Elemento Econômico: Auxílio-Transporte;6.016.051,00;6.016.051,00;2.000.000,00;935.745,33
********Categoria da Despesa: Despesas Correntes;6.016.051,00;6.016.051,00;2.000.000,00;935.745,33
*********Modalidade da Despesa: Aplicações Diretas;6.016.051,00;6.016.051,00;2.000.000,00;935.745,33
**********Fonte: Tesouro Municipal;6.016.051,00;6.016.051,00;2.000.000,00;935.745,33
*******Elemento Econômico: Diárias - Civil;173.659,00;173.659,00;25.170,63;25.170,63
********Categoria da Despesa: Despesas Correntes;173.659,00;173.659,00;25.170,63;25.170,63
*********Modalidade da Despesa: Aplicações Diretas;173.659,00;173.659,00;25.170,63;25.170,63
**********Fonte: Tesouro Municipal;173.659,00;173.659,00;25.170,63;25.170,63
*******Elemento Econômico: Equipamentos e Material Permanente;193.032,00;193.032,00;0,00;0,00
********Categoria da Despesa: Despesas de Capital;193.032,00;193.032,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;193.032,00;193.032,00;0,00;0,00
**********Fonte: Recursos Próprios da Administração Indireta;100.000,00;100.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;93.032,00;93.032,00;0,00;0,00
*******Elemento Econômico: Indenizações Trabalhistas;3.960.978,00;3.960.978,00;2.300.000,00;337.994,75
********Categoria da Despesa: Despesas Correntes;3.960.978,00;3.960.978,00;2.300.000,00;337.994,75
*********Modalidade da Despesa: Aplicações Diretas;3.960.978,00;3.960.978,00;2.300.000,00;337.994,75
**********Fonte: Tesouro Municipal;3.960.978,00;3.960.978,00;2.300.000,00;337.994,75
*******Elemento Econômico: Material de Consumo;784.567,00;784.567,00;3.305,90;0,00
********Categoria da Despesa: Despesas Correntes;784.567,00;784.567,00;3.305,90;0,00
*********Modalidade da Despesa: Aplicações Diretas;784.567,00;784.567,00;3.305,90;0,00
