Seleção;Orçado;Atualizado;Empenhado;Liquidado
Ano: 2011;35.622.810.875,00;35.938.773.492,88;29.693.288.881,05;26.216.542.900,39
*Orgão: Autarquia Hospitalar Municipal;773.520.634,00;811.157.134,00;758.267.085,67;655.907.479,16
**Unidade: Autarquia Hospitalar Municipal;773.520.634,00;811.157.134,00;758.267.085,67;655.907.479,16
***Função: Saúde;773.520.634,00;811.157.134,00;758.267.085,67;655.907.479,16
****Sub-Função: Administração Geral;485.859.215,00;476.825.315,09;449.033.065,94;381.479.781,56
*****Programa: Suporte administrativo;485.859.215,00;476.825.315,09;449.033.065,94;381.479.781,56
******Projeto/Atividade: Coordenação e Administração Geral;485.859.215,00;476.825.315,09;449.033.065,94;381.479.781,56
*******Elemento Econômico: Auxílio-Alimentação;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
********Categoria da Despesa: Despesas Correntes;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
*********Modalidade da Despesa: Aplicações Diretas;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
**********Fonte: Tesouro Municipal;47.405.280,00;47.405.280,00;46.004.311,01;40.731.698,07
*******Elemento Econômico: Auxílio-Transporte;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
********Categoria da Despesa: Despesas Correntes;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
*********Modalidade da Despesa: Aplicações Diretas;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
**********Fonte: Tesouro Municipal;7.044.720,00;7.044.720,00;6.244.000,00;5.438.858,41
*******Elemento Econômico: Diárias - Civil;52.000,00;252.000,00;112.508,22;112.508,22
********Categoria da Despesa: Despesas Correntes;52.000,00;252.000,00;112.508,22;112.508,22
*********Modalidade da Despesa: Aplicações Diretas;52.000,00;252.000,00;112.508,22;112.508,22
**********Fonte: Tesouro Municipal;52.000,00;252.000,00;112.508,22;112.508,22
*******Elemento Econômico: Equipamentos e Material Permanente;556.438,00;556.438,00;267.976,40;89.576,40
********Categoria da Despesa: Despesas de Capital;556.438,00;556.438,00;267.976,40;89.576,40
*********Modalidade da Despesa: Aplicações Diretas;556.438,00;556.438,00;267.976,40;89.576,40
**********Fonte: Recursos Próprios da Administração Indireta;436.438,00;436.438,00;185.978,00;7.578,00
**********Fonte: Tesouro Municipal;120.000,00;120.000,00;81.998,40;81.998,40
*******Elemento Econômico: Indenizações Trabalhistas;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
********Categoria da Despesa: Despesas Correntes;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
*********Modalidade da Despesa: Aplicações Diretas;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
**********Fonte: Tesouro Municipal;4.000.000,00;4.000.000,00;3.850.000,00;3.325.890,48
*******Elemento Econômico: Locação de Mão-de-Obra;110.000,00;1.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;110.000,00;1.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;110.000,00;1.000,00;0,00;0,00
**********Fonte: Tesouro Municipal;110.000,00;1.000,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;2.585.000,00;626.703,09;511.773,77;3.385,03
********Categoria da Despesa: Despesas Correntes;2.585.000,00;626.703,09;511.773,77;3.385,03
*********Modalidade da Despesa: Aplicações Diretas;2.585.000,00;626.703,09;511.773,77;3.385,03
**********Fonte: Tesouro Municipal;2.585.000,00;626.703,09;511.773,77;3.385,03
*******Elemento Econômico: Obrigações Patronais;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
********Categoria da Despesa: Despesas Correntes;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
*********Modalidade da Despesa: Aplicações Diretas;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
**********Fonte: Tesouro Municipal;75.422.149,00;75.422.149,00;72.018.585,01;59.939.372,59
*******Elemento Econômico: Obrigações Patronais - RPPS;8.000.000,00;8.000.000,00;7.450.000,00;6.113.565,63
********Categoria da Despesa: Despesas Correntes;8.000.000,00;8.000.000,00;7.450.000,00;6.113.565,63
